season,dungeon,runs_in_season,total_runs
season-7.2.0,Black Rook Hold,0,0
season-7.2.0,Cathedral of Eternal Night,0,0
season-7.2.0,Court of Stars,0,0
season-7.2.0,Darkheart Thicket,0,0
season-7.2.0,Eye of Azshara,0,0
season-7.2.0,Halls of Valor,0,0
season-7.2.0,Maw of Souls,0,0
season-7.2.0,Neltharion's Lair,0,0
season-7.2.0,Return to Karazhan: Lower,0,0
season-7.2.0,Return to Karazhan: Upper,0,0
season-7.2.0,Seat of the Triumvirate,0,0
season-7.2.0,The Arcway,0,0
season-7.2.0,Vault of the Wardens,0,0
season-7.2.5,Black Rook Hold,0,0
season-7.2.5,Cathedral of Eternal Night,0,0
season-7.2.5,Court of Stars,0,0
season-7.2.5,Darkheart Thicket,0,0
season-7.2.5,Eye of Azshara,0,0
season-7.2.5,Halls of Valor,0,0
season-7.2.5,Maw of Souls,0,0
season-7.2.5,Neltharion's Lair,0,0
season-7.2.5,Return to Karazhan: Lower,0,0
season-7.2.5,Return to Karazhan: Upper,0,0
season-7.2.5,Seat of the Triumvirate,0,0
season-7.2.5,The Arcway,0,0
season-7.2.5,Vault of the Wardens,0,0
season-7.3.0,Black Rook Hold,0,0
season-7.3.0,Cathedral of Eternal Night,0,0
season-7.3.0,Court of Stars,0,0
season-7.3.0,Darkheart Thicket,0,0
season-7.3.0,Eye of Azshara,0,0
season-7.3.0,Halls of Valor,0,0
season-7.3.0,Maw of Souls,0,0
season-7.3.0,Neltharion's Lair,0,0
season-7.3.0,Return to Karazhan: Lower,0,0
season-7.3.0,Return to Karazhan: Upper,0,0
season-7.3.0,Seat of the Triumvirate,0,0
season-7.3.0,The Arcway,0,0
season-7.3.0,Vault of the Wardens,0,0
season-7.3.2,Black Rook Hold,0,0
season-7.3.2,Cathedral of Eternal Night,0,0
season-7.3.2,Court of Stars,0,0
season-7.3.2,Darkheart Thicket,0,0
season-7.3.2,Eye of Azshara,0,0
season-7.3.2,Halls of Valor,0,0
